battle_entities_tables																																																
32																																																
key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	crawl_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	shape	radius	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake_type	dismember_head_alive_hp_ratio	dismember_arms_hp_ratio	jump_attack_chance
artillery_ballista_giant	artillery	1	1.1	1	2	1.1	30	20	20	6.8	capsule	0.65	5000	8	60	15	450	True	True	0	0	0	large	0.7	rotation	none	0	artillery_effects	0	0	0	False	1	0.8	4			0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
artillery_ballista_medium	artillery	1.6	2	0.8999999	2	2	30	20	20	4.2	capsule	0.6	5000	4.8	360	15	425	True	True	0	0	0	large	0.7	rotation	none	0	artillery_effects	0	0	0	False	1	0.8	4			0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
artillery_light	artillery	1.8	2.2	2	2	2.2	30	20	20	1.5	capsule	0.5	200	1.2	360	45	180	True	True	0	0	0	large	1	rotation	none	0	artillery_effects	0	0	0	False	1	0.8	4			0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
artillery_onager	artillery	1.6	1.8	1.2	2	1.8	30	20	20	3.5	capsule	0.6	5000	3.2	360	25	425	True	True	0	0	0	large	0.7	rotation	none	0	artillery_effects	0	0	0	False	1	0.8	4			0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
artillery_onager_large	artillery	1.4	1.3	0.2	1	1.3	30	20	20	5.8	capsule	0.65	5000	7.5	90	15	500	True	True	0	0	0	large	0.7	rotation	none	0	artillery_effects	0	0	0	False	1	0.8	4			0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
battering_ram	artillery	1.5	1.8	5	5	2	30	25	25	6	capsule	0.6	2000	8	40	5	150	False	False	0	0	0	very_large	1	rotation	wh_war_machine_wood_large	0	artillery_effects	0	0	0	False	1	0.75	5			0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
fauna_boar	fauna	0.5	2	1	1	4	10	10	10	1	ellipse	0.4	800	1	90	45	8	True	True	1	0	0	small	1	ignore	none	0	cavalry_effects	0	0	0	False	1	0.8999999	2			0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
fauna_camel	fauna	0.5	2	1	1	5	10	10	10	1.3	capsule	0.4	5000	3	90	45	8	True	True	0.5	0	0	small	1	ignore	none	0	cavalry_effects	0	0	0	False	1	0.8999999	2			0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
fauna_crow	fauna	4	14	2	2	6	35	35	35	0.5	ellipse	0.5	1000	0.5	90	120	8	True	True	0	14	14	small	2	ignore	none	0	cavalry_effects	0	0	0	False	1	0.8999999	2			0	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
fauna_deer	fauna	1	3	2	2	5	10	10	10	1	ellipse	0.4	1000	1.5	90	45	8	True	True	2	0	0	small	1	ignore	none	0	cavalry_effects	0	0	0	False	1	0.8999999	2			0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
fauna_elephant_adult	fauna	0.7	3	1	1	9	10	10	10	3.5	capsule	0.4	5000	3.5	90	45	8	True	True	0.5	0	0	small	1	ignore	none	0	cavalry_effects	0	0	0	False	1	0.8999999	2			0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
fauna_elephant_baby	fauna	1	6	1	1	9	10	10	10	1	ellipse	0.5	500	2	90	45	8	True	True	1	0	0	small	1	ignore	none	0	cavalry_effects	0	0	0	False	1	0.8999999	2			0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
fauna_ibis	fauna	4	10	2	2	6	35	35	35	1.5	capsule	0.5	1000	0.5	90	120	8	True	True	0	10	10	small	2	ignore	none	0	cavalry_effects	0	0	0	False	1	0.8999999	2			0	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
fauna_lion	fauna	1	5	3	3	12	12	12	12	2.5	capsule	0.4	1500	1	90	45	8	True	True	2	0	0	small	0.5	ignore	none	0	cavalry_effects	0	0	0	False	1	0.8999999	2			0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
fauna_milan	fauna	2	18	2	2	6	35	35	35	0.5	ellipse	0.5	1000	1.5	90	120	8	True	True	0	18	18	small	1	ignore	none	0	cavalry_effects	0	0	0	False	1	0.8999999	2			0	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	20
