bonus_v_large	bonus_v_infantry	key	damage	ap_damage	is_magical	melee_attack_interval
0	0	wh_dlc01_chs_axe_great	10	28	False	4.2
0	28	wh_dlc01_chs_chariot_gorebeast	16	34	False	4
0	0	wh_dlc01_chs_dragon	140	410	False	3.8
0	0	wh_dlc01_chs_dragon_caster	140	380	False	4
26	0	wh_dlc01_chs_dragon_ogre	33	77	False	4
30	0	wh_dlc01_chs_dragon_ogre_shaggoth	140	320	False	3.6
28	0	wh_dlc01_chs_dragon_ogre_shaggoth_boss	160	310	False	3
0	0	wh_dlc01_chs_forsaken	44	14	False	4.3
0	0	wh_dlc01_chs_forsaken_RoR	46	12	False	3.6
26	0	wh_dlc01_chs_halberd_chosen	15	31	False	4.3
28	0	wh_dlc01_chs_kholek	135	405	False	3.7
0	0	wh_dlc01_chs_manticore	290	155	False	3.6
0	0	wh_dlc01_chs_manticore_caster	290	155	False	3.6
0	0	wh_dlc01_chs_manticore_caster_lord	290	155	False	3.6
0	0	wh_dlc01_chs_manticore_exalted_hero	300	160	False	3.6
0	0	wh_dlc01_chs_manticore_lord	320	170	False	3.6
0	0	wh_dlc01_chs_prince_sigvald	340	180	False	4
22	0	wh_dlc02_vmp_blood_knight_lance	25	13	False	5.1
0	0	wh_dlc03_bst_bestigor_great_axe	12	28	False	4
0	0	wh_dlc03_bst_centigor_great_axe	7	27	False	4.6
0	0	wh_dlc03_bst_centigor_spear	25	7	False	4.6
0	28	wh_dlc03_bst_chariot_general_hero	120	280	False	4
0	24	wh_dlc03_bst_chariot_hero	100	200	False	4
0	0	wh_dlc03_bst_claws_chaos_spawn	90	40	False	3.8
0	0	wh_dlc03_bst_cygor	100	300	False	4
0	0	wh_dlc03_bst_cygor_boss	100	300	False	4
0	0	wh_dlc03_bst_gor_axe	21	9	False	4.4
0	0	wh_dlc03_bst_gor_axe_dual	25	11	False	4.4
30	0	wh_dlc03_bst_gor_axe_gorebull	140	280	False	4
0	0	wh_dlc03_bst_gor_axe_hero	310	160	False	4
0	0	wh_dlc03_bst_gor_axe_hero_khazrak	320	170	False	4
0	0	wh_dlc03_bst_manticore	290	155	False	3.6
0	0	wh_dlc03_bst_minotaur_axe	33	77	False	4
28	0	wh_dlc03_bst_minotaur_great_axe	33	77	False	4
0	0	wh_dlc03_bst_razorgor_tusk	16	36	False	4
0	0	wh_dlc03_bst_staff_bray_shaman	215	95	False	4
0	0	wh_dlc03_bst_staff_hero	180	60	False	4
0	0	wh_dlc03_bst_staff_hero_malagor	250	125	False	4
0	0	wh_dlc03_bst_ungor_axe	20	7	False	4.3
0	0	wh_dlc03_bst_ungor_axe_raiders	20	6	False	4.3
12	0	wh_dlc03_bst_ungor_spear	17	5	False	4.2
