land_units_tables																																																										
43																																																										
accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	key	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_animals	animal	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strenghts_weaknesses_text	supports_first_person	training_level	officer	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selected_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flames	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missiles	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion
10	wh2_main_heavy_metal_90	2100	inf_melee	40	com	13	71	wh2_dlc09_unit_long_text_skv_cha_tretch_craventail	wh2_dlc09_skv_cha_tretch_craventail	hu17_craventail_spear_and_fork	wh2_dlc09_skv_infantry_fast_hero_tretch_craventail	40	70	65	4280		0		0	wh2_dlc09_skv_cha_tretch_craventail		1	none	wh2_dlc09_unit_short_text_skv_cha_tretch_craventail	wh_main_infantry	placeholder	False	elite	A_blank_record			True	40	1500	0	wh_chargeReflectorVsL_encourage_guerrilla_hideForest	60	80	0	False	vo_sel_default	vo_sel_generic	vo_sel_generic	1	10	small	0	0	0	0	0	0	15	0	melee_highvalue	False	False	False
10	wh2_main_bone_80	2100	war_machine	8	chariot	20	33	wh2_dlc09_tmb_art_casket_of_souls	wh2_dlc09_tmb_art_casket_of_souls_0	hu1_liche_priest_staff_and_sword	wh2_dlc09_tmb_skeleton	20	14	60	3952		0		0	wh2_dlc09_tmb_sword	wh2_dlc09_tmb_casket_of_souls	1	none	wh2_dlc09_tmb_art_casket_of_souls	wh_main_monster	placeholder	False	elite	wh2_dlc09_tmb_casket_of_souls_officer		wh2_dlc09_tmb_veh_casket_of_souls	True	40	1500	0	wh_fear_hideForest_undead	60	80	10	False	vo_sel_vampire_corpse_cart	vo_sel_melee	vo_sel_culture	1	10	large	0	20	0	0	1	0	15	0	ranged_indirect_arty	False	False	False
10	wh2_main_bone_20	2100	artillery	5	art_fld	2	10	wh2_dlc09_tmb_art_screaming_skull_catapult	wh2_dlc09_tmb_art_screaming_skull_catapult_0	hu1_tomb_skeleton_sword	wh2_dlc09_tmb_skeleton	10	6	40	48		0		0	wh2_dlc09_tmb_sword_short		5	none	wh2_dlc09_tmb_art_screaming_skull_catapult	wh_main_artillery	placeholder	True	trained	A_blank_record		wh2_dlc09_tmb_art_screaming_skull_catapult	True	40	1500	0	wh2_cantRun_fear_undead	60	80	10	False	vo_sel_bretonnian_field_trebuchet	vo_sel_artillery	vo_sel_culture	1	10	small	0	22	0	0	4	0	0	0	ranged_indirect_arty	False	False	False
10	wh_main_body_0	2100	cavalry	34	cav_mel	20	33	wh_main_unit_long_text_vmp_hexwraiths	wh2_dlc09_tmb_cav_hexwraiths	hu1_vampire_counts_hr1_warhorse_scythe	wh_main_cavalry_rider_standard_ethereal	24	20	38	80	wh_main_vmp_mnt_skeletal_steed_hexwraiths	0		60	wh_main_vmp_scythe_hexwraith		5	none	wh_main_unit_short_text_vmp_hexwraiths	wh_main_cavalry_very_chaotic	placeholder	False	trained	A_blank_record			True	40	1500	0	wh_fear_guerrilla_hideForest_terror_undead	60	80	0	False	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1	8	ethereal	0	0	0	0	0	75	0	0	melee_flanker	False	False	False
10	wh2_main_body_90	2100	cavalry	50	cav_shk	22	50	wh2_dlc09_tmb_cav_necropolis_knights	wh2_dlc09_tmb_cav_necropolis_knights_0	hu1_tomb_sn1_serpent_spear_and_shield	wh2_dlc09_tmb_skeleton	40	36	60	272	wh2_dlc09_tmb_mnt_necroserpent	0		24	wh2_dlc09_tmb_necropolis_knights_lance		3	wh_missile_block_30_wood	wh2_dlc09_tmb_cav_necropolis_knights	wh2_dlc09_necroserpents	placeholder	False	well_trained	A_blank_record			True	40	1500	0	wh2_construct_fear_hideForest	60	80	0	False	vo_sel_demigryph_knights	vo_sel_cavalry	vo_sel_culture	1	8	large	0	0	0	0	0	0	0	0	melee_flanker_shock	False	False	False
10	wh2_main_body_90	2100	cavalry	40	cav_shk	22	50	wh2_dlc09_tmb_cav_necropolis_knights	wh2_dlc09_tmb_cav_necropolis_knights_1	hu1_tomb_sn1_serpent_spear	wh2_dlc09_tmb_skeleton	32	31	60	272	wh2_dlc09_tmb_mnt_necroserpent	0		24	wh2_dlc09_tmb_necropolis_knights_halberd		3	none	wh2_dlc09_tmb_cav_necropolis_knights_halberd	wh2_dlc09_necroserpents	placeholder	False	well_trained	A_blank_record			True	40	1500	0	wh2_construct_fear_hideForest	60	80	0	False	vo_sel_demigryph_knights	vo_sel_cavalry	vo_sel_culture	1	8	large	0	0	0	0	0	0	0	0	melee_flanker_shock	False	False	False
10	wh2_main_bone_110	2100	cavalry	74	cav_shk	22	50	wh2_dlc09_tmb_cav_necropolis_knights	wh2_dlc09_tmb_cav_necropolis_knights_ror	hu1_tomb_sn1_serpent_spear_and_shield	wh2_dlc09_tmb_skeleton	55	51	75	408	wh2_dlc09_tmb_mnt_necroserpent_ror	0		24	wh2_dlc09_tmb_necropolis_knights_lance		3	wh_missile_block_30_wood	wh2_dlc09_tmb_cav_necropolis_knights_ror	wh2_dlc09_necroserpents	placeholder	False	well_trained	A_blank_record			True	40	1500	0	wh2_construct_fear_hideForest	60	80	0	False	vo_sel_demigryph_knights	vo_sel_cavalry	vo_sel_culture	1	8	large	0	0	0	0	0	0	0	0	melee_flanker_shock	False	False	False
10	wh2_main_bone_50	2100	cavalry	25	cav_mel	20	33	wh2_dlc09_tmb_cav_nehekhara_horsemen	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	hu1_tomb_hr1_tomb_steed_sword_and_shield	wh2_dlc09_tmb_skeleton	28	35	50	94	wh2_dlc09_tmb_mnt_tomb_steed_nehekhara_horsemen	0		60	wh2_dlc09_tmb_sword_nehekhara_horsemen		5	wh_missile_block_30_wood	wh2_dlc09_tmb_cav_nehekhara_horsemen	wh_main_cavalry_chaotic	placeholder	False	trained	A_blank_record			True	40	1500	0	wh_fear_hideForest_undead	60	80	0	False	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1	8	large	0	0	0	0	0	0	0	0	melee_flanker	False	False	False
10	wh2_main_bone_80	2100	cavalry	50	cav_mel	20	33	wh2_dlc09_tmb_cav_nehekhara_horsemen	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	hu1_tomb_hr1_tomb_steed_sword_and_shield	wh2_dlc09_tmb_skeleton	43	50	65	141	wh2_dlc09_tmb_mnt_tomb_steed_ror	0		60	wh2_dlc09_tmb_sword_nehekhara_horsemen		5	wh_missile_block_30_wood	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	wh_main_cavalry_chaotic	placeholder	False	trained	A_blank_record			True	40	1500	0	wh_fear_hideForest_undead	60	80	0	False	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1	8	large	0	0	0	0	0	0	0	0	melee_flanker	False	False	False
10	wh2_main_bone_20	2100	cavalry	26	cav_mel	20	33	wh2_dlc09_tmb_cav_skeleton_horsemen	wh2_dlc09_tmb_cav_skeleton_horsemen_0	hu1_tomb_hr1_tomb_steed_spear_and_shield	wh2_dlc09_tmb_skeleton	22	26	36	70	wh2_dlc09_tmb_mnt_tomb_steed	0		60	wh2_dlc09_tmb_cavalry_spear		4	wh_missile_block_30_wood	wh2_dlc09_tmb_cav_skeleton_horsemen	wh_main_cavalry_chaotic	placeholder	False	trained	A_blank_record			True	40	1500	0	wh_fear_guerrilla_hideForest_undead	60	80	0	False	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1	8	large	0	0	0	0	0	0	0	0	melee_flanker	False	False	False
10	wh2_main_bone_20	2100	cavalry	14	cav_mis	20	33	wh2_dlc09_tmb_cav_skeleton_horsemen_archers	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	hu1_tomb_hr1_tomb_steed_sword_and_bow	wh2_dlc09_tmb_skeleton_missile_mounted	16	18	36	70	wh2_dlc09_tmb_mnt_tomb_steed	0		60	wh2_dlc09_tmb_sword_short	wh2_dlc09_tmb_bow_horse	4	none	wh2_dlc09_tmb_cav_skeleton_horsemen_archers	wh_main_cavalry_chaotic	placeholder	False	trained	A_blank_record			True	40	1500	0	wh_fear_guerrilla_hideForest_undead_mountedFireMove	60	80	10	False	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1	8	large	0	18	0	0	0	0	0	0	ranged_harasser_flanker	True	False	False
