main_units_tables																																																		
36																																																		
additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitement_movie	religion_requirement	unit	upkeep_cost	weight	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	unknown25	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_thread	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
	-1	lord	1	False	wh2_dlc09_skv_cha_tretch_craventail	1	0	850	wh_main_shp_transport	1	1	1	0	900			wh2_dlc09_skv_cha_tretch_craventail	225	medium		False	False	0	2079610498	0	True		wh2_main_vo_culture_Skaven	wh2_dlc09_lord_infantry_spear	wh2_dlc09_lord_infantry_spear	0	True	skv_clan_rats		True	False		850	0	False	wh2_main_vo_culture_Skaven	True	wh2_dlc09_vo_actor_Skaven_Tretch_Craventail	0	True	False	0	False	False	
	-1	chariot	2	False	wh2_dlc09_tmb_art_casket_of_souls_0	1	0	1300	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_art_casket_of_souls_0	0	heavy		False	False	0	1387946144	0	True		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_casket_of_souls	wh2_dlc09_tmb_casket_of_souls	4	True	default		True	True	composite_scene\porthole\tmb_casket_of_souls_porthole_01.csc	140	1260	True	vo_culture_None	False	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	True	False	6	False	False	
	0	warmachine	1	False	wh2_dlc09_tmb_art_screaming_skull_catapult_0	44	0	750	wh_main_shp_transport	1	1	44	0	0			wh2_dlc09_tmb_art_screaming_skull_catapult_0	0	very_heavy		False	False	0	948578458	0	True		wh2_dlc09_vo_culture_Tomb_Kings	catapult	catapult	3	False	tmb_skeleton_warriors		False	True		80	720	True	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	False	wh_main_vo_actor_default	0	True	False	6	False	False	
	0	melee_cavalry	3	False	wh2_dlc09_tmb_cav_hexwraiths	60	0	1475	wh_main_shp_transport	1	1	60	0	0			wh2_dlc09_tmb_cav_hexwraiths	0	heavy		False	False	0	1802062021	0	True		wh2_dlc09_vo_culture_Tomb_Kings_Hexwraith	vmp_cavalry_scythe	vmp_cavalry_scythe	4	False	vamp_hex_wraith		False	True		1400	0	False	vo_culture_None	False	wh_main_vo_actor_default	0	False	False	6	False	False	
	0	monstrous_cavalry	3	False	wh2_dlc09_tmb_cav_necropolis_knights_0	24	0	1300	wh_main_shp_transport	1	1	24	0	0			wh2_dlc09_tmb_cav_necropolis_knights_0	0	medium		False	False	0	1335977863	0	True		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_spear	wh2_dlc09_tmb_necroserpent_spear	4	False	tmb_necro_knights		False	True		1300	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	False	wh_main_vo_actor_default	0	True	False	6	False	False	
	0	monstrous_cavalry	3	False	wh2_dlc09_tmb_cav_necropolis_knights_1	24	0	1400	wh_main_shp_transport	1	1	24	0	0			wh2_dlc09_tmb_cav_necropolis_knights_1	0	medium		False	False	0	820981901	0	True		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_halberd	wh2_dlc09_tmb_necroserpent_halberd	5	False	tmb_necro_knights		False	True		1400	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	False	wh_main_vo_actor_default	0	True	False	6	False	False	
	1	monstrous_cavalry	3	False	wh2_dlc09_tmb_cav_necropolis_knights_ror	24	1	1500	wh_main_shp_transport	1	1	24	0	0			wh2_dlc09_tmb_cav_necropolis_knights_ror	0	medium		False	False	0	1013496807	0	True		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_spear	wh2_dlc09_tmb_necroserpent_spear	5	False	tmb_necro_knights		False	True		1500	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	True	wh_main_vo_actor_default	0	True	False	1	False	False	
	0	melee_cavalry	1	False	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	60	0	650	wh_main_shp_transport	1	1	60	0	0			wh2_dlc09_tmb_cav_nehekhara_horsemen_0	0	heavy		False	False	0	787952245	0	True		wh2_dlc09_vo_culture_Tomb_Kings	cavalry_skeleton	cavalry_skeleton	3	False	emp_reiksguard		False	True		650	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	False	wh_main_vo_actor_default	0	False	False	6	False	False	
	1	melee_cavalry	1	False	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	60	1	900	wh_main_shp_transport	1	1	60	0	0			wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	0	heavy		False	False	0	960966772	0	True		wh2_dlc09_vo_culture_Tomb_Kings	cavalry_skeleton	cavalry_skeleton	5	False	emp_reiksguard		False	True		1000	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	True	wh_main_vo_actor_default	0	False	False	1	False	False	
	0	melee_cavalry	1	False	wh2_dlc09_tmb_cav_skeleton_horsemen_0	60	0	400	wh_main_shp_transport	1	1	60	0	0			wh2_dlc09_tmb_cav_skeleton_horsemen_0	0	medium		False	False	0	1000222117	0	True		wh2_dlc09_vo_culture_Tomb_Kings	cavalry_spear_skeleton	cavalry_spear_skeleton	2	False	emp_reiksguard		False	True		400	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	False	wh_main_vo_actor_default	0	False	False	6	False	False	
