armour	category	charge_bonus	class	key	melee_attack	melee_defence	morale	bonus_hit_points	primary_melee_weapon	attribute_group	damage_mod_flames	damage_mod_magic	damage_mod_physical	damage_mod_missiles	damage_mod_all
wh2_main_heavy_metal_100	inf_melee	26	inf_mel	wh_dlc01_chs_inf_chaos_warriors_2	36	32	75	82	wh_dlc01_chs_axe_great	wh_hideForest	0	0	0	0	0
wh2_main_heavy_metal_120	war_machine	80	chariot	wh_dlc01_chs_cav_gorebeast_chariot	30	32	70	1600	wh_dlc01_chs_chariot_gorebeast	wh_fear	0	0	0	0	0
wh2_main_body_70	war_beast	50	com	wh_dlc01_chs_cha_chaos_lord_2	54	44	75	7428	wh_dlc01_chs_dragon	wh_encourage_fear_terror	0	0	0	25	0
wh2_main_body_70	war_beast	70	com	wh_dlc08_chs_cha_chaos_lord_2_qb	54	45	75	5224	wh_dlc01_chs_dragon	wh_encourage_fear_terror	0	0	0	25	0
wh2_main_body_70	war_beast	45	com	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10	46	40	65	7300	wh_dlc01_chs_dragon_caster	wh_encourage_fear_terror	0	0	0	25	0
wh2_main_body_70	war_beast	45	com	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10	46	40	65	7300	wh_dlc01_chs_dragon_caster	wh_encourage_fear_terror	0	0	0	25	0
wh2_main_body_70	war_beast	45	com	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10	46	40	65	7300	wh_dlc01_chs_dragon_caster	wh_encourage_fear_terror	0	0	0	25	0
wh2_main_body_70	war_beast	45	com	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_4	46	40	65	7300	wh_dlc01_chs_dragon_caster	wh_encourage_fear_terror	0	0	0	25	0
wh2_main_body_70	war_beast	60	com	wh_dlc08_nor_cha_kihar_0	42	40	60	4884	wh_dlc01_chs_dragon_caster	wh_encourage_fear_terror	0	0	0	25	0
wh2_main_body_45	inf_melee	32	inf_mel	wh_dlc01_chs_mon_dragon_ogre	32	40	72	608	wh_dlc01_chs_dragon_ogre	wh_fear	0	0	0	25	0
wh2_main_body_70	inf_melee	52	inf_mel	wh_dlc01_chs_mon_dragon_ogre_shaggoth	52	50	75	8580	wh_dlc01_chs_dragon_ogre_shaggoth	wh_fear_terror	0	0	0	25	0
wh2_main_body_70	inf_melee	52	inf_mel	wh_dlc08_chs_mon_dragon_ogre_shaggoth_minor_boss	52	50	75	8580	wh_dlc01_chs_dragon_ogre_shaggoth	wh_fear_terror_unbreakable	0	0	0	45	0
wh2_main_body_70	inf_melee	74	com	wh_dlc08_chs_mon_dragon_ogre_shaggoth_boss	75	65	85	16782	wh_dlc01_chs_dragon_ogre_shaggoth_boss	wh_fear_terror_unbreakable	0	0	0	75	0
wh2_main_body_75	inf_melee	34	inf_mel	wh_dlc01_chs_inf_forsaken_0	32	20	70	84	wh_dlc01_chs_forsaken	wh_hideForest_immuneToPsych	0	0	0	0	0
wh2_main_body_75	inf_melee	34	inf_mel	wh_pro04_chs_inf_forsaken_ror_0	38	29	80	84	wh_dlc01_chs_forsaken_RoR	wh_hideForest_immuneToPsych	0	0	0	0	0
wh2_main_heavy_metal_120	inf_melee	16	inf_mel	wh_dlc01_chs_inf_chosen_2	36	54	85	123	wh_dlc01_chs_halberd_chosen	wh_chargeReflectorVsL_hideForest	0	0	0	0	0
wh2_main_heavy_metal_100	inf_melee	52	com	wh_dlc01_chs_cha_kholek	60	52	75	8580	wh_dlc01_chs_kholek	wh_encourage_fear_terror	0	0	0	25	0
wh2_main_body_45	inf_melee	50	inf_mel	wh_dlc06_chs_feral_manticore	40	34	56	5095	wh_dlc01_chs_manticore	wh2_fear_rampage_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh2_dlc10_def_cha_supreme_sorceress_beasts_4	40	34	75	5260	wh_dlc01_chs_manticore	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh2_dlc10_def_cha_supreme_sorceress_dark_4	40	34	75	5260	wh_dlc01_chs_manticore	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh2_dlc10_def_cha_supreme_sorceress_death_4	40	34	75	5260	wh_dlc01_chs_manticore	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh2_dlc10_def_cha_supreme_sorceress_fire_4	40	34	75	5260	wh_dlc01_chs_manticore	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh2_dlc10_def_cha_supreme_sorceress_shadow_4	40	34	75	5260	wh_dlc01_chs_manticore	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh_dlc01_chs_cha_chaos_sorcerer_shadows_3	40	34	60	5096	wh_dlc01_chs_manticore_caster	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh_dlc06_chs_cha_chaos_sorcerer_death_9	40	34	60	5096	wh_dlc01_chs_manticore_caster	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh_dlc06_chs_cha_chaos_sorcerer_fire_9	40	34	60	5096	wh_dlc01_chs_manticore_caster	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh_dlc06_chs_cha_chaos_sorcerer_metal_9	40	34	60	5096	wh_dlc01_chs_manticore_caster	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9	42	36	65	5260	wh_dlc01_chs_manticore_caster_lord	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9	42	36	65	5260	wh_dlc01_chs_manticore_caster_lord	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_9	42	36	65	5260	wh_dlc01_chs_manticore_caster_lord	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	50	com	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_3	42	36	65	5260	wh_dlc01_chs_manticore_caster_lord	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	55	com	wh_dlc01_chs_cha_exalted_hero_10	55	34	70	5260	wh_dlc01_chs_manticore_exalted_hero	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_body_80	war_beast	60	com	wh_dlc01_chs_cha_chaos_lord_10	54	45	75	5460	wh_dlc01_chs_manticore_lord	wh_encourage_fear_terror	0	0	0	15	0
wh2_main_plate_100	inf_melee	45	com	wh_dlc01_chs_cha_prince_sigvald_the_magnificent	65	60	85	5212	wh_dlc01_chs_prince_sigvald	wh_chargeReflector_encourage_hideForest_immuneToPsych_strider	0	0	0	15	0
wh2_main_plate_110	cavalry	72	cav_shk	wh_dlc02_vmp_cav_blood_knights_0	32	40	65	100	wh_dlc02_vmp_blood_knight_lance	wh_fear_hideForest_undead	0	0	0	0	0
wh2_main_heavy_metal_95	inf_melee	32	inf_mel	wh_dlc03_bst_inf_bestigor_herd_0	35	24	66	92	wh_dlc03_bst_bestigor_great_axe	wh_hideForest	0	0	0	0	0
wh2_main_chainmail_35	inf_melee	42	inf_mel	wh_dlc03_bst_inf_centigors_2	22	20	60	100	wh_dlc03_bst_centigor_great_axe	wh_guerrilla_hideForest	0	0	0	0	0
