,BVI,BVL,HP,MP_cost,ap_damage,ap_fraction,armor,attack_interval,attributes,caste,category,charge,class,damage,damage_mod_all,damage_mod_fire,damage_mod_magic,damage_mod_missiles,damage_mod_physical,faction,fly_speed,ground_speed,key_name,leadership,mass,melee_A,melee_D,melee_weapon,missile_ap_damage,missile_ap_fraction,missile_damage,missile_projectiles,missile_range,missile_shots_per_volley,missile_total_damage,missile_weapon,models,name,shield,total_damage,weight_class
0,0,25,3216,850,120,0.3,90,4.0,wh_chargeReflectorVsL_encourage_guerrilla_hideForest,lord,inf_melee,40,com,280,0,0,0,15,0,skv,0.0,42.0,wh2_dlc09_skv_cha_tretch_craventail,65,450,40,70,wh2_dlc09_skv_cha_tretch_craventail,0,0.0,0,0,0,0,0,,1,Tretch Craventail,0,400,medium
1,0,0,2976,1300,6,0.23076923076923078,80,4.3,wh_fear_hideForest_undead,chariot,war_machine,8,chariot,20,0,0,0,15,0,tmb,0.0,26.0,wh2_dlc09_tmb_art_casket_of_souls_0,60,4000,20,14,wh2_dlc09_tmb_sword,90,0.6923076923076923,40,7,440,1,130,wh2_dlc09_tmb_casket_of_souls,1,Casket of Souls,0,26,heavy
2,0,0,3267,750,3,0.15,20,4.4,wh2_cantRun_fear_undead,warmachine,artillery,5,art_fld,17,0,0,0,0,0,tmb,0.0,20.0,wh2_dlc09_tmb_art_screaming_skull_catapult_0,40,3000,10,6,wh2_dlc09_tmb_sword_short,0,0.0,0,0,0,0,0,,33,Screaming Skull Catapult,0,20,very_heavy
3,0,0,4320,1475,34,0.8947368421052632,0,4.6,wh_fear_guerrilla_hideForest_terror_undead,melee_cavalry,cavalry,34,cav_mel,4,0,0,0,0,75,tmb,0.0,94.0,wh2_dlc09_tmb_cav_hexwraiths,38,750,24,20,wh_main_vmp_scythe_hexwraith,0,0.0,0,0,0,0,0,,45,Hexwraiths,0,38,heavy
4,0,0,5184,1300,36,0.6545454545454545,90,4.7,wh2_construct_fear_hideForest,monstrous_cavalry,cavalry,50,cav_shk,19,0,0,0,0,0,tmb,0.0,66.0,wh2_dlc09_tmb_cav_necropolis_knights_0,60,1300,40,36,wh2_dlc09_tmb_necropolis_knights_lance,0,0.0,0,0,0,0,0,,18,Necropolis Knights,30,55,medium
5,0,28,5184,1400,33,0.66,90,5.0,wh2_construct_fear_hideForest,monstrous_cavalry,cavalry,40,cav_shk,17,0,0,0,0,0,tmb,0.0,66.0,wh2_dlc09_tmb_cav_necropolis_knights_1,60,1300,32,31,wh2_dlc09_tmb_necropolis_knights_halberd,0,0.0,0,0,0,0,0,,18,Necropolis Knights (Halberds),0,50,medium
6,0,0,7632,1500,36,0.6545454545454545,110,4.7,wh2_construct_fear_hideForest,monstrous_cavalry,cavalry,74,cav_shk,19,0,0,0,0,0,tmb,0.0,76.0,wh2_dlc09_tmb_cav_necropolis_knights_ror,75,1300,55,51,wh2_dlc09_tmb_necropolis_knights_lance,0,0.0,0,0,0,0,0,,18,Venom Knights of Asaph (Necropolis Knights),30,55,medium
7,0,0,4950,650,10,0.2631578947368421,50,5.0,wh_fear_hideForest_undead,melee_cavalry,cavalry,25,cav_mel,28,0,0,0,0,0,tmb,0.0,78.0,wh2_dlc09_tmb_cav_nehekhara_horsemen_0,50,1000,28,35,wh2_dlc09_tmb_sword_nehekhara_horsemen,0,0.0,0,0,0,0,0,,45,Nehekhara Horsemen,30,38,heavy
8,0,0,7065,900,10,0.2631578947368421,80,5.0,wh_fear_hideForest_undead,melee_cavalry,cavalry,50,cav_mel,28,0,0,0,0,0,tmb,0.0,85.0,wh2_dlc09_tmb_cav_nehekhara_horsemen_ror,65,1000,43,50,wh2_dlc09_tmb_sword_nehekhara_horsemen,0,0.0,0,0,0,0,0,,45,Storm Riders of Khsar (Nehekhara Horsemen),30,38,heavy
9,0,0,3870,400,5,0.2,20,4.5,wh_fear_guerrilla_hideForest_undead,melee_cavalry,cavalry,26,cav_mel,20,0,0,0,0,0,tmb,0.0,76.0,wh2_dlc09_tmb_cav_skeleton_horsemen_0,36,700,22,26,wh2_dlc09_tmb_cavalry_spear,0,0.0,0,0,0,0,0,,45,Skeleton Horsemen,30,25,medium
